                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.84056,                0.42915,                 1.1536,                0.34178,                0.84901,                0.38699,                0.27806,                0.94822,                 1.8184,                 1.3037,             0.00083566,             0.00083566,             0.00083566
                     86,                0.84958,                0.42332,                  1.159,                0.99127,                0.99713,                0.99364,                0.76906,                0.89208,                 0.3707,                 1.2096,             0.00083368,             0.00083368,             0.00083368
                     87,                 0.8845,                0.41856,                 1.1675,                0.99139,                      1,                0.99239,                0.78618,                0.89018,                0.35008,                 1.2045,              0.0008317,              0.0008317,              0.0008317
                     88,                0.87938,                0.43023,                  1.163,                0.99402,                      1,                 0.9943,                0.79113,                0.90423,                0.35973,                 1.2155,             0.00082972,             0.00082972,             0.00082972
                     89,                  0.859,                0.42077,                 1.1447,                0.99691,                      1,                 0.9946,                0.79844,                 0.8812,                0.36151,                 1.1942,             0.00082774,             0.00082774,             0.00082774
                     90,                0.83542,                0.41006,                 1.1477,                0.99713,                0.99934,                0.99454,                0.79075,                 0.8928,                0.35693,                  1.213,             0.00082576,             0.00082576,             0.00082576
                     91,                0.87484,                0.41294,                 1.1563,                0.99713,                0.99993,                0.99448,                0.77823,                0.90107,                 0.3438,                 1.2066,             0.00082378,             0.00082378,             0.00082378
                     92,                0.88084,                0.41969,                 1.1654,                0.99702,                      1,                0.99471,                 0.7893,                0.88582,                0.35306,                  1.219,              0.0008218,              0.0008218,              0.0008218
                     93,                0.85969,                0.41061,                 1.1542,                0.99112,                      1,                0.99453,                0.74177,                0.93404,                0.36759,                 1.2392,             0.00081982,             0.00081982,             0.00081982
                     94,                0.87185,                0.41777,                 1.1756,                0.99281,                0.99138,                0.99435,                0.77728,                0.89884,                0.35373,                 1.2287,             0.00081784,             0.00081784,             0.00081784
                     95,                0.85332,                  0.418,                 1.1498,                0.99546,                      1,                0.99434,                0.77825,                0.89375,                0.35347,                 1.1963,             0.00081586,             0.00081586,             0.00081586
                     96,                0.83769,                0.40364,                 1.1506,                 0.9963,                0.99425,                 0.9948,                0.78365,                0.87418,                 0.3507,                 1.2001,             0.00081388,             0.00081388,             0.00081388
                     97,                0.86179,                0.41992,                 1.1485,                0.99696,                      1,                 0.9944,                0.77956,                0.87534,                0.33958,                 1.2026,              0.0008119,              0.0008119,              0.0008119
                     98,                0.86069,                0.41982,                 1.1592,                0.99668,                      1,                0.99463,                0.78415,                 0.8873,                0.34353,                 1.2206,             0.00080992,             0.00080992,             0.00080992
                     99,                0.85368,                0.41547,                 1.1485,                0.98975,                      1,                0.99345,                0.78675,                0.88958,                0.35199,                 1.1995,             0.00080794,             0.00080794,             0.00080794
                    100,                0.84718,                0.41072,                 1.1575,                0.99089,                      1,                0.99474,                0.78828,                0.89416,                0.34763,                 1.2086,             0.00080596,             0.00080596,             0.00080596
                    101,                0.84532,                0.40471,                 1.1517,                0.93638,                0.83333,                0.85668,                0.59536,                 1.1436,                 1.5935,                 1.4541,             0.00080398,             0.00080398,             0.00080398
                    102,                0.86165,                0.41351,                 1.1645,                0.99713,                0.99963,                0.99468,                0.78428,                0.89519,                0.35059,                 1.2053,               0.000802,               0.000802,               0.000802
                    103,                0.84807,                0.40892,                 1.1519,                0.99428,                  0.999,                0.99445,                0.78642,                0.87763,                0.35167,                 1.2081,             0.00080002,             0.00080002,             0.00080002
                    104,                0.83193,                0.40452,                 1.1395,                0.99131,                      1,                0.99412,                 0.7824,                0.90047,                0.35061,                 1.2057,             0.00079804,             0.00079804,             0.00079804
                    105,                0.82936,                0.40318,                 1.1375,                0.98567,                      1,                0.99177,                0.78781,                0.88174,                0.35276,                 1.2049,             0.00079606,             0.00079606,             0.00079606
                    106,                0.85792,                0.40953,                 1.1552,                0.98375,                      1,                0.98663,                0.76903,                0.90216,                0.38176,                 1.2358,             0.00079408,             0.00079408,             0.00079408
                    107,                0.81451,                0.40282,                 1.1465,                0.99234,                      1,                0.99457,                0.79597,                0.89581,                 0.3435,                 1.2216,              0.0007921,              0.0007921,              0.0007921
                    108,                0.86727,                0.42369,                  1.162,                0.99695,                      1,                0.99486,                0.77718,                   0.91,                0.35223,                 1.2087,             0.00079012,             0.00079012,             0.00079012
                    109,                0.82335,                0.41209,                 1.1368,                0.99646,                      1,                0.99468,                0.77577,                0.89356,                0.34842,                 1.2117,             0.00078814,             0.00078814,             0.00078814
                    110,                0.83046,                0.38824,                  1.137,                0.99666,                      1,                0.99486,                0.77442,                0.91374,                0.34827,                 1.2316,             0.00078616,             0.00078616,             0.00078616
                    111,                0.85213,                0.41379,                  1.157,                0.99395,                      1,                0.99453,                0.78802,                0.87741,                0.34057,                 1.1769,             0.00078418,             0.00078418,             0.00078418
                    112,                0.86247,                0.42578,                  1.159,                0.99561,                      1,                0.99466,                 0.7955,                0.89531,                0.33441,                 1.2047,              0.0007822,              0.0007822,              0.0007822
                    113,                0.84267,                 0.4205,                 1.1549,                0.99689,                      1,                0.99451,                 0.7693,                0.89924,                0.34809,                 1.2031,             0.00078022,             0.00078022,             0.00078022
                    114,                0.83148,                0.39692,                 1.1561,                 0.9934,                0.99713,                0.99425,                0.79725,                 0.8726,                0.35145,                 1.1853,             0.00077824,             0.00077824,             0.00077824
                    115,                0.84999,                0.41025,                 1.1413,                0.99427,                0.99692,                0.99474,                0.78243,                0.90198,                0.36734,                  1.221,             0.00077626,             0.00077626,             0.00077626
                    116,                0.83142,                  0.402,                 1.1474,                  0.994,                      1,                0.99466,                0.78412,                0.91609,                0.34318,                  1.207,             0.00077428,             0.00077428,             0.00077428
