                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.67121,                0.31154,                 1.0724,                0.99395,                0.99713,                0.99425,                0.78969,                0.84144,                0.29448,                 1.1568,             8.3962e-05,             8.3962e-05,             8.3962e-05
                     84,                0.67528,                0.31133,                 1.0678,                0.99369,                0.99713,                0.99399,                0.76822,                0.86895,                0.30528,                 1.1946,             8.3764e-05,             8.3764e-05,             8.3764e-05
                     85,                0.67604,                0.31785,                 1.0501,                0.99691,                      1,                 0.9948,                0.79042,                0.87453,                0.30544,                 1.1842,             8.3566e-05,             8.3566e-05,             8.3566e-05
                     86,                0.66787,                 0.3076,                 1.0621,                 0.9942,                0.99713,                0.99459,                0.77645,                 0.8796,                0.31021,                 1.1921,             8.3368e-05,             8.3368e-05,             8.3368e-05
                     87,                0.66952,                0.30774,                 1.0505,                0.99403,                0.99713,                0.99432,                0.79186,                0.86219,                0.30316,                 1.1877,              8.317e-05,              8.317e-05,              8.317e-05
                     88,                0.65427,                0.31074,                  1.048,                0.99289,                0.99425,                0.99428,                0.78396,                0.85601,                0.32383,                 1.1807,             8.2972e-05,             8.2972e-05,             8.2972e-05
                     89,                 0.6513,                0.30067,                 1.0344,                0.99376,                0.99713,                0.99439,                0.80382,                0.85644,                0.30718,                 1.1909,             8.2774e-05,             8.2774e-05,             8.2774e-05
                     90,                0.66424,                0.31376,                 1.0525,                0.99116,                0.99425,                0.99373,                0.79528,                0.86055,                0.30785,                 1.1915,             8.2576e-05,             8.2576e-05,             8.2576e-05
                     91,                 0.6567,                0.30277,                 1.0457,                0.99299,                0.99713,                0.99465,                0.78738,                0.85664,                0.30734,                 1.2002,             8.2378e-05,             8.2378e-05,             8.2378e-05
                     92,                0.66193,                0.29821,                 1.0499,                0.99403,                0.99713,                0.99402,                0.79763,                0.85546,                 0.3004,                 1.2024,              8.218e-05,              8.218e-05,              8.218e-05
                     93,                0.65112,                0.30213,                 1.0426,                0.99414,                0.99713,                 0.9942,                0.80297,                0.84317,                0.28325,                 1.1945,             8.1982e-05,             8.1982e-05,             8.1982e-05
                     94,                0.65686,                0.30631,                 1.0503,                0.99404,                0.99713,                0.99407,                0.78174,                 0.8578,                0.29301,                  1.194,             8.1784e-05,             8.1784e-05,             8.1784e-05
                     95,                0.66565,                0.31607,                 1.0568,                0.99404,                0.99713,                 0.9943,                0.78792,                0.85719,                0.29866,                 1.1797,             8.1586e-05,             8.1586e-05,             8.1586e-05
                     96,                0.65233,                0.30003,                 1.0384,                0.99427,                0.99699,                0.99439,                0.78392,                0.87706,                0.30302,                 1.2098,             8.1388e-05,             8.1388e-05,             8.1388e-05
                     97,                0.65379,                0.30167,                 1.0372,                0.99402,                0.99713,                0.99408,                0.78035,                0.87025,                0.30377,                 1.2072,              8.119e-05,              8.119e-05,              8.119e-05
                     98,                0.64457,                0.30555,                 1.0427,                0.99693,                      1,                 0.9944,                0.78475,                0.85101,                 0.2971,                  1.199,             8.0992e-05,             8.0992e-05,             8.0992e-05
                     99,                0.64309,                0.30362,                 1.0326,                0.99407,                0.99713,                0.99416,                0.78628,                 0.8672,                0.30141,                 1.1967,             8.0794e-05,             8.0794e-05,             8.0794e-05
                    100,                0.65626,                0.30395,                 1.0449,                0.99694,                      1,                 0.9948,                0.78807,                0.83824,                0.30185,                 1.1782,             8.0596e-05,             8.0596e-05,             8.0596e-05
                    101,                0.65157,                0.30109,                 1.0376,                0.99702,                      1,                0.99437,                0.79584,                0.84777,                0.29615,                 1.1821,             8.0398e-05,             8.0398e-05,             8.0398e-05
                    102,                0.62673,                0.29402,                 1.0285,                0.99122,                0.99713,                0.99256,                0.79058,                0.85868,                0.29506,                 1.2046,               8.02e-05,               8.02e-05,               8.02e-05
                    103,                0.63215,                 0.2943,                 1.0221,                0.99121,                0.99713,                0.99327,                0.79379,                0.84778,                0.29732,                 1.2011,             8.0002e-05,             8.0002e-05,             8.0002e-05
                    104,                0.61913,                0.29224,                  1.021,                0.99377,                0.99713,                0.99361,                0.78791,                0.85538,                0.29588,                 1.2097,             7.9804e-05,             7.9804e-05,             7.9804e-05
                    105,                0.64191,                 0.3108,                 1.0394,                0.99346,                0.99713,                 0.9938,                0.77734,                 0.8515,                0.29068,                  1.207,             7.9606e-05,             7.9606e-05,             7.9606e-05
                    106,                0.61182,                0.29584,                 1.0224,                0.99392,                0.99713,                0.99336,                0.78708,                0.86645,                0.30162,                 1.2039,             7.9408e-05,             7.9408e-05,             7.9408e-05
